集團名稱,count
1233  天仁茶葉,1
1213  大飲集團,1
9960  邁達康,1
9958  世紀鋼集團,1
9955  佳龍,1
9951  皇田,1
9950  萬國通,1
9949  琉園,1
2351  順德工業,1
2345  智邦集團,1
2208  台船,1
2337  旺宏集團,1
2316  楠電集團,1
2314A 謝其嘉家族,1
2313  華通電腦,1
2305  全友集團,1
2368  金像電子,1
2365  昆盈集團,1
2364  倫飛集團,1
1337  三斯達,1
2370  恆大集團,1
1452  宏益纖維集團,1
1451  年興集團,1
1449  佳和集團,1
N0055 汎德永業集團,1
2243  宏旭模具,1
2241  艾姆勒,1
4145  繁葵,1
1341  富林塑膠,1
2425B 七彩虹,1
2423  固緯,1
1307  三芳,1
1295  生合集團,1
7418  漢田,1
1264  德麥,1
1418  東華,1
1416  廣豐實業集團,1
1414  東和紡織集團,1
1410  南洋染整集團,1
2355  敬鵬工業,1
2399  映泰,1
2393  億光集團,1
2387  精元電腦集團,1
2383  台光電集團,1
2380  虹光,1
2377  微星集團,1
2369  菱生集團,1
2428  興勤集團,1
2230  泰茂,1
2228  劍麟,1
2221  大甲,1
2067  嘉鋼,1
2066  世德工業,1
2064  晉椿,1
2302  麗正集團,1
2248  華勝汽車電子,1
2022  聚亨集團,1
2115  六暉,1
2114  鑫永銓,1
2107  厚生集團,1
2106  建大工業,1
2105  正新橡膠集團,1
2421  建準,1
2420  新巨,1
2415  錩新,1
2402  毅嘉集團,1
2458  義隆集團,1
2457  飛宏,1
3318  和光集團,1
2453  凌群電腦,1
2449  京元電子,1
2444A 兆勁集團,1
2497  怡利電,1
2496D 陳立教育集團,1
2495  普安,1
2493  揚博,1
2442  新美齊,1
2440A 紅帥工業,1
2439  美律實業,1
2438B 承濬投資,1
2436  偉詮電集團,1
2480  敦陽科,1
2478  大毅,1
2477  美隆電,1
1340  F-勝悅,1
1339  昭輝實業,1
1338  廣華,1
2024A 大盛國際集團,1
2061  風青,1
2059  川湖,1
2038  海光,1
2035  唐榮,1
2034  允強,1
2033  佳大,1
2031  新光鋼,1
2540B 甲山林,1
2538  基泰集團,1
2465A 大訊科技集團,1
2464  盟立,1
2461  光群雷集團,1
2460  建通,1
2459  敦吉,1
2509  全坤集團,1
8453  柳逸義家族,1
2491A 羅福助集團,1
2488  漢平,1
2485  兆赫,1
2482  連宇,1
2596  綠意,1
2548  華固,1
2547  日勝生集團,1
2545  皇翔建設,1
2543  皇昌,1
2073  雄順集團,1
2070  精湛,1
2069  運錩,1
1809  中釉,1
1806  冠軍集團,1
1805B 璞園建設機構,1
2062  橋椿,1
1742B 遠進,1
2008  高興昌,1
2006  東和鋼鐵集團,1
1817  凱撒衛,1
2723  85度C,1
2536  宏普集團,1
2524  京城集團,1
2516  新建,1
6295  台灣大車隊,1
2636  台驊,1
2634  漢翔,1
2633  台灣高鐵,1
X0197 台翔航太工業,1
2617  台航,1
9801  東森集團,1
2613  大同通運集團,1
9912  中航偉聯集團,1
2609  陽明集團,1
2608A 港商嘉里集團,1
2605  新興,1
2734  易飛網,1
2731  雄獅,1
2729  瓦城泰統,1
2727A 王品陳正輝,1
2726  雅茗天地,1
2724B 立信機構,1
2030  彰源,1
2029  淀川製鋼,1
2028  威致集團,1
1773  勝一,1
1760  寶齡,1
1752  南光,1
Z1266 國票台票集團,1
2887  台新金控集團,1
2886  兆豐金控集團,1
2884  玉山銀集團,1
2707  晶華集團,1
2705  六福開發,1
2702  華園飯店,1
2643  捷迅,1
2641  正德海運,1
2834  臺企銀,1
2801  彰銀,1
2762  世界健身-KY,1
2756  聯發餐飲,1
2755  超秦集團,1
2754  亞洲藏壽司,1
2753  八方雲集,1
3002  歐格,1
2949  欣新網集團,1
2948  寶陞國際,1
2947  振宇五金,1
2941  米斯特,1
3085B 鄭博文補習班,1
2937  集雅社,1
2752  豆府,1
2745  五福,1
2743  山富旅遊,1
2739  寒舍,1
2736  高野,1
2908  特力集團,1
2304  誠洲集團,1
2892  第一金控集團,1
2891  中信集團,1
1717  長興化工,1
1802  台玻集團,1
1796  金穎生技,1
1795B 泰國國家石油,1
1786  科妍,1
1785A 光洋科經理團隊,1
3021A 裕展投資,1
3018B 許鑒隆家族,1
2880  華南金控集團,1
2852  第一保集團,1
2849A 隆力PE Fund,1
2838  聯邦集團,1
2836A 高雄銀,1
3008  大立光,1
3006  晶豪科集團,1
3003  健和興集團,1
3036  文曄集團,1
2929  淘帝,1
8958  誠品集團,1
2924A 宏福實業集團,1
2916  滿心,1
2911  麗嬰房集團,1
2910  統領集團,1
3029  零壹,1
3028  增你強,1
3025  星通集團,1
3024  憶聲集團,1
3023  信邦集團,1
99802 寶利徠光學,1
1810  和成集團,1
1722A 台肥,1
1721  三晃集團,1
3090  日電貿集團,1
3086B 網銀國際,1
3078  僑威集團,1
3071A 康勛,1
3067A 台耀科技,1
3066  李洲集團,1
3015  全漢,1
3013  晟銘電,1
3055A 駿躍投資,1
3052  夆典集團,1
3051  力特,1
3048  益登,1
3044  健鼎集團,1
3043  科風,1
3040A 森羅投資,1
3038  全台集團,1
3152  璟德,1
3147  大綜電腦,1
3141  晶宏,1
3138  耀登,1
3135A 盛耘投資,1
3131  弘塑科技,1
3130  一零四,1
3128  昇銳,1
3122  笙泉科技,1
3034  何泰舜團隊,1
3033  威健集團,1
3031  佰鴻,1
3030  德律,1
3094  聯傑,1
3093  港建,1
3092  鴻碩,1
1612  宏泰電工,1
1611B 亞洲世界電通,1
1609  大亞電纜集團,1
1737  臺鹽,1
1736  喬山,1
1735A 日商愛克,1
1733  五鼎,1
1732  毛寶,1
1730  花仙子,1
3191B 雲嘉南,1
3188A 鑫龍騰,1
3178  公準,1
3059A 華晶科,1
3058  立德,1
3057  喬鼎,1
3056A 總太,1
2894  大慶集團,1
3055  蔚華科集團,1
3226A 龍鋒集團,1
3118  進階生物,1
24644 天逸系統,1
3095  及成企業集團,1
3218  大學光,1
3217  優群科,1
3211  順達科,1
3209  全科,1
3206A 富泰營造,1
3313A 農生企業,1
1781  合世,1
1776  展宇,1
1615  大山,1
1614  三洋電機,1
3290A 松茂投資,1
3289  宜特,1
3288  點晶科技,1
3287  廣寰科,1
3285  微端,1
3167  大量,1
3164B 陳根德家族,1
1507B 永鍊,1
3268  海德威,1
1242  新東陽集團,1
3264  欣銓科技集團,1
3259  鑫創,1
3252A 海灣建設,1
3236  千如,1
3232  昱捷,1
3230  錦明,1
3356  奇偶,1
3354  律勝,1
3349  寶德,1
3346  麗清,1
3332  幸康,1
3325A 蕭奕彰家族,1
3324  雙鴻,1
3224A 貝德比修投資,1
3221  台嘉碩,1
3308  聯德電子,1
3305  昇貿集團,1
3303  岱稜,1
3297  杭特,1
3296  勝德,1
3294  英濟,1
3293  鈊象,1
3444  利機,1
3441  聯一光集團,1
3434  哲固,1
3432  台端興業,1
3430  奇鈦科技,1
3419A 鄒宓富家族,1
3416  融程電,1
3406  玉晶光,1
3402  漢科,1
3284B 泰嘉開發,1
3272  東碩,1
3040  周至元家族,1
3363A 上詮,1
6281A 林忠和家族,1
3360  尚立,1
3357  西北臺慶科技,1
3512A 陳慶飛家族,1
3508  位速集團,1
3499A 鄭賢隆家族,1
3498  陽程,1
3494  誠研,1
3492  長盛,1
3491  昇達科技集團,1
3490  單井,1
3489A 森聯機構,1
3484  崧騰,1
3483  力致,1
3323  加百裕,1
3322  建舜電,1
3317  尼克森,1
3465A 恩典設計,1
3455  由田新技,1
1589  永冠,1
1587  吉茂精密,1
1582  信錦,1
1580  新麥,1
1712A 興農經理團隊,1
1711  永光化學,1
1709  信興工業集團,1
1708  東鹼集團,1
1707  葡萄王,1
1626  艾美,1
3527  聚積,1
3526  凡甲,1
3523  迎輝集團,1
3388  崇越電集團,1
3376  新日興,1
3516  亞帝歐,1
3551  世禾,1
3550  聯穎科技,1
3479  安勤,1
3467A 賀士郡家族,1
3466A 恒盈泰資本,1
3543  州巧,1
3541  西柏科技,1
3540  曜越,1
3537  堡達,1
3535  晶彩科技,1
3530  晶相光,1
3529  力旺,1
1727  中華化,1
1726  永記,1
1725  元禎企業集團,1
1590  Airtac,1
3609A 東及開發集團,1
3607  谷崧精密,1
3605  宏致,1
3597  映興電子,1
3520B 永鼎投資,1
3518A 駿東國際投資,1
3587  閎康,1
3583  辛耘企業,1
3580  友威科,1
3577  泓格,1
3576A 聯合再生集團,1
3570  日商大塚商會,1
3567  逸昌科技,1
3563  牧德,1
3557A 數位解決方案,1
3552  同致,1
3685A 江凱量家族,1
3684  榮昌,1
3679  新至陞,1
3673  TPK集團,1
2586  春虹建設,1
3548  兆利,1
3546  宇峻,1
3545  敦泰集團,1
3646  艾恩特,1
3645  達邁,1
3632  研勤集團,1
3631  晟楠,1
3630A 丘鈦科技,1
3625  西勝國際,1
3624A 風華高新科技,1
3617  碩天科技,1
1533  車王電集團,1
1532  勤美集團,1
1531  高林,1
1603  華電,1
1599  宏佳騰,1
1598  岱宇,1
1597  直得科技,1
6251  定穎,1
3713  新晶投控集團,1
3594  磐儀,1
3591  艾笛森,1
3588  通嘉,1
2391  合勤集團,1
3693  營邦企業,1
3689  湧德電子,1
3686  達能,1
4142  國光生,1
4139  馬光,1
4133  亞諾法生技,1
3665  貿聯,1
3661  世芯,1
3653  健策,1
4129  聯合,1
4127  天良集團,1
4111  濟生化學,1
1230  聯成食品集團,1
4106  雃博,1
1617  榮星電線工業,1
1616  億泰,1
1540  喬福集團,1
1539  巨庭,1
1538B 安誠國際投資,1
4406  新昕纖維,1
4402A 郡都集團,1
4401  東隆興,1
4305  世坤塑膠,1
4304B 國瑞開發,1
4207  環泰,1
4205  恆義,1
5491  連展,1
4733  上緯,1
4175  杏一,1
4171  瑞基海洋,1
4168  信標生技集團,1
4161  聿新科,1
4155  訊映,1
3085A 璞石資本集團,1
